 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,900.942,10.686,0,8.025,4.659,27.928,201.455,1676.481,0.106
2,1,1,900.352,7.882,0,9.115,5.009,31.620,236.328,2009.354,9.901E-16
3,1,2,832.719,254.094,0,4.166,7.564,65.762,628.796,6407.732,3.643
4,1,3,810.808,336.986,0,3.620,6.918,59.411,568.783,5827.476,5.953E-20
5,1,4,1034.496,558.023,0,4.166,6.664,58.326,573.004,5979.226,7.193E-10
6,1,6,966.066,704.240,0,3.989,6.816,59.838,585.896,6094.923,6.517E-5
7,1,7,981.706,697.478,0,6.222,6.114,49.360,464.123,4757.610,6.300E-4
8,1,8,979.622,690.054,0,6.466,5.090,37.540,336.177,3338.149,6.396E-23
9,1,9,975.598,676.391,0,5.019,4.606,32.362,284.418,2802.083,15.917
10,1,10,793.810,754.650,0,12.447,8.125,78.175,807.912,8686.008,0.000
11,1,12,793.924,737.417,0,15.951,7.157,60.888,570.607,5693.478,1.207E-38
12,1,13,794.031,726.977,0,16.172,6.567,51.780,452.545,4236.758,0.000
13,1,14,736.715,684.661,0,12.620,4.291,24.205,168.752,1392.060,8.270E-8
14,1,15,742.359,671.373,0,13.566,3.803,19.777,130.356,1030.676,5.939E-15
15,1,16,742.158,654.093,0,20.761,3.071,12.291,60.394,356.669,0.000
16,1,17,748.498,630.691,0,15.890,3.386,15.524,91.671,676.811,0.000
17,1,18,749.963,617.111,0,16.065,3.196,13.498,69.833,426.179,0.000
18,1,19,745.317,595.816,0,17.531,3.343,14.350,74.381,458.816,0.000
19,1,20,580.172,703.722,0,4.524,6.643,56.034,534.743,5462.687,0.024
20,1,21,437.490,872.493,0,5.643,4.463,29.062,244.239,2391.790,5.127E-15
21,1,22,435.315,866.300,0,5.965,5.462,41.408,372.725,3687.210,3.936
22,1,23,444.018,866.407,0,5.007,5.137,41.544,409.007,4385.589,6.485
23,1,25,425.874,864.612,0,4.854,5.135,38.627,356.567,3649.813,14.346
24,1,26,431.962,848.850,0,6.142,4.627,30.830,252.998,2340.481,4.046E-20
25,1,27,373.166,972.801,0,6.334,7.646,70.507,709.625,7512.920,6.553E-8
26,1,28,447.388,836.679,0,6.196,6.626,52.801,467.721,4466.776,3.966
27,1,29,447.911,823.984,0,6.295,4.998,35.788,312.572,3050.612,1.166
28,1,31,438.639,808.553,0,6.477,5.235,38.871,351.572,3546.054,1.014E-4
29,1,32,415.355,756.198,0,4.336,6.695,60.750,617.192,6631.092,14.527
